Date;OR.PA;VIE.PA;CA.PA;ACA.PA;DSY.PA;GLE.PA;BNP.PA;HO.PA;SU.PA;FCHI;FTSE;N225;VIX;AAPL;NVDA;INTC;AMD;TYX
01/01/2004;;21,008928;42,73;16,709824;3,673;63,701752;49,680538;26,5;25,369576;3563,51001;4473;10757,82031;15,5;0,403393;2,085;33,990002;15,66;5,084
08/01/2004;;20,781393;41,290001;17,05995;3,511;64,327156;49,581573;28,379999;25,88833;3612,550049;4461,399902;10863;16,75;0,432143;2,020833;33,389999;15,2;4,882
15/01/2004;;20,8762;41,939999;16,823614;3,607;66,114021;50,27433;29,299999;26,999947;3676,379883;4511,200195;11002,38965;14,34;0,40375;2,015;32,200001;15,9;4,916
22/01/2004;;21,805296;40,599998;17,410078;3,656;66,158691;51,263985;28,719999;26,184761;3706,790039;4468,100098;10852,46973;16,780001;0,402143;1,880833;31,379999;15,3;5,018
29/01/2004;;21,482956;40,240002;17,068703;3,436;64,729202;49,680538;29,129999;25,5919;3607,570068;4398,5;10447,25;17,870001;0,389107;1,826667;30,02;14,13;4,964
05/02/2004;;21,88114;40,580002;17,935268;3,607;66,918114;50,27433;29,190001;25,987141;3677,850098;4396,100098;10365,40039;15,39;0,425;2,020833;30,99;15,71;4,897
12/02/2004;;22,952442;42,900002;18,206617;3,655;65,220589;50,571228;31,280001;26,5553;3709,02002;4442,899902;10676,80957;15,59;0,415357;1,963333;30,6;15,3;4,915
19/02/2004;;22,478415;43,5;17,856489;3,552;63,791096;50,373295;30,41;26,777624;3702,629883;4507,600098;10658,73047;14,93;0,407321;1,875;29,620001;14,52;4,893
26/02/2004;;23,009327;43,41;17,646414;3,49;63,38905;49,878471;31,24;26,678814;3758,51001;4525,100098;11351,91992;14,55;0,427143;1,8225;29,040001;14,7;4,909
04/03/2004;;22,56374;42,939999;18,828093;3,263;64,014458;49,680538;30,700001;26,209463;3758,090088;4545,299805;11433,24023;18,67;0,494286;1,746667;27,309999;14,43;4,678
11/03/2004;;21,615685;41,900002;18,906872;3,095;62,897663;48,888817;30,58;26,234165;3656,040039;4456,799805;11436,86035;18,110001;0,467679;1,848333;27,790001;15,35;4,645
18/03/2004;;20,923603;39,549999;18,232878;3,202;59,725979;47,503304;30,200001;25,320169;3518,449951;4309,5;11364,99023;19,809999;0,455357;1,923333;26,530001;15,54;4,664
25/03/2004;;21,520878;40,139999;18,60051;3,38;62,093575;49,185715;31,139999;26,184761;3625,22998;4385,700195;11715,38965;16,74;0,482857;2,2;27,200001;16,23;4,777
01/04/2004;;22,070751;40,279999;18,775574;3,447;64,461174;52,154671;31,120001;27,395189;3734,560059;4468,700195;12019,62012;15,76;0,487679;2,166667;27,620001;16,9;5,011
08/04/2004;;21,682049;38,799999;18,425447;3,408;64,639854;51,560879;32,27;26,950542;3731,429932;4485,399902;12098,17969;15,62;0,475714;2,146667;27,370001;17,120001;5,169
15/04/2004;;21,5588;38,900002;18,250383;3,315;65,220589;51,066051;31,549999;28,185673;3743,149902;4539,899902;11944,29981;15,6;0,495179;1,884167;26,280001;16,280001;5,231
22/04/2004;;21,208019;39,709999;18,337915;3,366;63,701752;50,571228;31,76;28,136267;3722,590088;4524,5;12004,29004;16,290001;0,472321;1,8375;26,35;15,17;5,263
29/04/2004;;21,350227;39,299999;18,723055;3,419;63,165691;50,670193;31,040001;28,185673;3729,379883;4569,5;11761,79004;15,77;0,475893;1,810833;26,200001;14,35;5,348
06/05/2004;;20,866718;37,700001;17,094963;3,355;59,547291;47,602268;29,129999;26,85173;3564,340088;4412,899902;11153,58008;18,139999;0,4875;1,786667;27,57;15,14;5,51
13/05/2004;;21,312305;38,34;17,550129;3,435;61,289486;49,878471;29,35;27,172865;3643,320068;4471,799805;10967,74023;18,93;0,472679;1,788333;27,110001;14,49;5,499
20/05/2004;;21,350227;39,32;17,891502;3,604;62,540291;50,27433;28,559999;27,568108;3659,919922;4438,299805;11152,08984;15,97;0,509107;1,875;28,370001;15,12;5,376
27/05/2004;;20,933083;39,950001;17,646414;3,695;61,95956;49,680538;28,35;27,197569;3646,22998;4422,799805;11242,33984;16,08;0,516429;1,9375;28,01;15,08;5,416
03/06/2004;;21,530359;39,27;18,232878;3,73;63,433723;50,769157;29,049999;27,617512;3699,290039;4489,5;11449,74023;15,39;0,539286;1,750833;28,4;15,51;5,486
10/06/2004;;21,757893;40;17,99654;3,698;63,701752;50,868122;29,33;27,765728;3714,5;4491,100098;11641,71973;14,79;0,584643;1,6775;28,120001;15,24;5,41
17/06/2004;;22,260363;39,889999;17,795218;3,661;63,88044;51,263985;30,4;27,246973;3720,139893;4486,700195;11580,55957;13,98;0,601786;1,691667;28,52;15,4;5,383
24/06/2004;;21,985426;39,880001;17,506363;3,811;62,406277;50,076401;30,07;27,716324;3732,98999;4464,100098;11858,87012;14,34;0,581071;1,705833;27,6;15,9;5,313
01/07/2004;;21,776854;39,209999;17,068703;3,675;61,021454;48,492958;29,41;26,481192;3660,399902;4358,399902;11384,86035;15,81;0,542679;1,518333;26,34;15,2;5,222
08/07/2004;;21,757893;39,130001;17,068703;3,672;60,976784;47,998131;28,9;26,678814;3648,75;4372,600098;11356,65039;13,76;0,528214;1,3125;23,379999;13,74;5,218
15/07/2004;;21,255423;39,299999;17,08621;3,668;59,859993;47,404339;28,709999;26,85173;3637,469971;4377,299805;11433,86035;16,41;0,564643;1,225833;22,559999;12,12;5,208
22/07/2004;;20,69607;38,849998;17,05995;3,615;59,547291;46,711582;28,459999;26,110653;3575,919922;4356,299805;11204,37012;16,15;0,57625;1,1925;23,459999;11,33;5,307
29/07/2004;;20,809835;38,950001;17,418831;3,689;59,949333;48,888817;28,450001;25,690708;3607,580078;4408,100098;11010,01953;16,209999;0,567679;1,2475;23,969999;11,86;5,171
05/08/2004;;20,297886;37,720001;17,147482;3,428;59,547291;47,899166;27,530001;24,66308;3502,949951;4312,200195;11049,45996;18,040001;0,55375;0,86;22,16;10,93;5,056
12/08/2004;56,299999;20,553862;37,880001;17,235014;3,568;61,200142;49,185715;27,459999;24,776712;3541,47998;4355,299805;10774,25977;16,23;0,566786;0,975;22,219999;11,87;5,032
19/08/2004;56,099998;20,402172;38,799999;17,979034;3,583;62,361603;49,878471;27,459999;25,295467;3595,26001;4411,600098;11130,01953;14,98;0,590179;1,055833;21,950001;12,2;5,05
26/08/2004;55,400002;20,127235;40,810001;18,162851;3,543;62,540291;49,680538;27,77;25,616602;3613,22998;4502,100098;11127,34961;14,91;0,640357;1,058333;21,43;11,7;4,934
